AIRCRAFT_TYPE_CODE,UNIQUE_CARRIER_NAME,AIRLINE_NAME,AIRLINE_GROUP,AIRCRAFT_VARIANT,AIRCRAFT_MODEL,AIRCRAFT_MANUFACTURER
626,ABSA-Aerolinhas Brasileiras,ABSA Cargo,LATAM Airlines Group,Boeing 767-300F,Boeing 767,Boeing
625,ABX Air Inc,ABX Air,DHL Aviation,Boeing 767-200BDSF,Boeing 767,Boeing
626,ABX Air Inc,ABX Air,DHL Aviation,Boeing 767-300BDSF,Boeing 767,Boeing
696,Aeroflot Russian Airlines,Aeroflot Cargo,Aeroflot,Airbus A330-200,Airbus A330,Airbus
687,Aeroflot Russian Airlines,Aeroflot Cargo,Aeroflot,Airbus A330-300,Airbus A330,Airbus
359,Aeroflot Russian Airlines,Aeroflot Cargo,Aeroflot,Airbus A350-900,Airbus A350,Airbus
637,Aeroflot Russian Airlines,Aeroflot Cargo,Aeroflot,Boeing 777-300ER,Boeing 777,Boeing
683,Aerologic GmbH,AeroLogic,DHL Aviation,Boeing 777-F,Boeing 777,Boeing
690,Aerounion Aerotransporte de Carga Union SA de CV,AeroUnion,Avianca Group,Airbus A300-200BF,Airbus A300,Airbus
691,Aerounion Aerotransporte de Carga Union SA de CV,AeroUnion,Avianca Group,Airbus A300-600RF,Airbus A300,Airbus
625,Aerounion Aerotransporte de Carga Union SA de CV,AeroUnion,Avianca Group,Boeing 767-200BDSF,Boeing 767,Boeing
819,Air Atlanta Icelandic,Air Atlanta Icelandic,Air Atlanta Icelandic,Boeing 747-400F,Boeing 747,Boeing
820,Air Atlanta Icelandic,Air Atlanta Icelandic,Air Atlanta Icelandic,Boeing 747-400F,Boeing 747,Boeing
724,Air Canada,Air Canada Cargo,Air Canada,Airbus A220-300,Airbus A220,Airbus
698,Air Canada,Air Canada Cargo,Air Canada,Airbus A319-100,Airbus A319,Airbus
694,Air Canada,Air Canada Cargo,Air Canada,Airbus A320-200,Airbus A320,Airbus
699,Air Canada,Air Canada Cargo,Air Canada,Airbus A321-200,Airbus A321,Airbus
721,Air Canada,Air Canada Cargo,Air Canada,Airbus A321-200neo,Airbus A321,Airbus
696,Air Canada,Air Canada Cargo,Air Canada,Airbus A330-300,Airbus A330,Airbus
614,Air Canada,Air Canada Cargo,Air Canada,Boeing 737-MAX8,Boeing 737,Boeing
625,Air Canada,Air Canada Cargo,Air Canada,Boeing 767-200,Boeing 767,Boeing
626,Air Canada,Air Canada Cargo,Air Canada,Boeing 767-300BDSF,Boeing 767,Boeing
627,Air Canada,Air Canada Cargo,Air Canada,Boeing 777-200LR,Boeing 777,Boeing
637,Air Canada,Air Canada Cargo,Air Canada,Boeing 777-300ER,Boeing 777,Boeing
887,Air Canada,Air Canada Cargo,Air Canada,Boeing 787-8,Boeing 787,Boeing
889,Air Canada,Air Canada Cargo,Air Canada,Boeing 787-9,Boeing 787,Boeing
678,Air Canada,Air Canada Cargo,Air Canada,Embraer E190,Embraer E190,Embraer
696,Air China,Air China Cargo,Air China Group,Airbus A330-200P2F,Airbus A330,Airbus
359,Air China,Air China Cargo,Air China Group,Airbus A350-900,Airbus A350,Airbus
819,Air China,Air China Cargo,Air China Group,Boeing 747-400F,Boeing 747,Boeing
821,Air China,Air China Cargo,Air China Group,Boeing 747-8i,Boeing 747,Boeing
637,Air China,Air China Cargo,Air China Group,Boeing 777-300ER,Boeing 777,Boeing
627,Air China,Air China Cargo,Air China Group,Boeing 777-F,Boeing 777,Boeing
889,Air China,Air China Cargo,Air China Group,Boeing 787-9,Boeing 787,Boeing
694,Compagnie Natl Air France,Air France Cargo,Air France-KLM,Airbus A320-200,Airbus A320,Airbus
696,Compagnie Natl Air France,Air France Cargo,Air France-KLM,Airbus A330-200,Airbus A330,Airbus
873,Compagnie Natl Air France,Air France Cargo,Air France-KLM,Airbus A340-200,Airbus A340,Airbus
359,Compagnie Natl Air France,Air France Cargo,Air France-KLM,Airbus A350-900,Airbus A350,Airbus
882,Compagnie Natl Air France,Air France Cargo,Air France-KLM,Airbus A380-800,Airbus A380,Airbus
820,Compagnie Natl Air France,Air France Cargo,Air France-KLM,Boeing 747-400BCF,Boeing 747,Boeing
627,Compagnie Natl Air France,Air France Cargo,Air France-KLM,Boeing 777-200ER,Boeing 777,Boeing
637,Compagnie Natl Air France,Air France Cargo,Air France-KLM,Boeing 777-300ER,Boeing 777,Boeing
683,Compagnie Natl Air France,Air France Cargo,Air France-KLM,Boeing 777-F,Boeing 777,Boeing
889,Compagnie Natl Air France,Air France Cargo,Air France-KLM,Boeing 787-9,Boeing 787,Boeing
820,AirBridgeCargo Airlines Limited,AirBridgeCargo,Volga-Dnepr Group,Boeing 747-400ERF,Boeing 747,Boeing
821,AirBridgeCargo Airlines Limited,AirBridgeCargo,Volga-Dnepr Group,Boeing 747-8F,Boeing 747,Boeing
698,Alaska Airlines Inc.,Alaska Air Cargo,Alaska Air Group,Airbus A319-100,Airbus A319,Airbus
694,Alaska Airlines Inc.,Alaska Air Cargo,Alaska Air Group,Airbus A320-200,Airbus A320,Airbus
721,Alaska Airlines Inc.,Alaska Air Cargo,Alaska Air Group,Airbus A321-200neo,Airbus A321,Airbus
617,Alaska Airlines Inc.,Alaska Air Cargo,Alaska Air Group,Boeing 737-400SF,Boeing 737,Boeing
612,Alaska Airlines Inc.,Alaska Air Cargo,Alaska Air Group,Boeing 737-700BDSF,Boeing 737,Boeing
614,Alaska Airlines Inc.,Alaska Air Cargo,Alaska Air Group,Boeing 737-800BCF,Boeing 737,Boeing
634,Alaska Airlines Inc.,Alaska Air Cargo,Alaska Air Group,Boeing 737-900,Boeing 737,Boeing
888,Alaska Airlines Inc.,Alaska Air Cargo,Alaska Air Group,Boeing 737-900ER,Boeing 737,Boeing
838,Alaska Airlines Inc.,Alaska Air Cargo,Alaska Air Group,Boeing 737-MAX8,Boeing 737,Boeing
839,Alaska Airlines Inc.,Alaska Air Cargo,Alaska Air Group,Boeing 737-MAX9,Boeing 737,Boeing
619,Aloha Air Cargo,Aloha Air Cargo,Northern Air Services,Boeing 737-300SF,Boeing 737,Boeing
617,Aloha Air Cargo,Aloha Air Cargo,Northern Air Services,Boeing 737-400SF,Boeing 737,Boeing
715,Amerijet International,Amerijet,Amerijet International,Boeing 727-200F,Boeing 727,Boeing
622,Amerijet International,Amerijet,DHL Aviation,Boeing 757-200PCF,Boeing 757,Boeing
625,Amerijet International,Amerijet,Amerijet International,Boeing 767-200BDSF,Boeing 767,Boeing
626,Amerijet International,Amerijet,DHL Aviation,Boeing 767-300BDSF,Boeing 767,Boeing
882,All Nippon Airways Co.,ANA Cargo,ANA Holdings,Airbus A380-800,Airbus A380,Airbus
